,Kingdom,Phylum,Class,Order,Family,Genus,Species,OTU,Lowest_Taxnomic_Rank,Label
FOTU_740,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Tremella,globispora,FOTU_740,Tremella_globispora,FOTU_740_Tremella_globispora
FOTU_741,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Sporobolomyces,carnicolor,FOTU_741,Sporobolomyces_carnicolor,FOTU_741_Sporobolomyces_carnicolor
FOTU_742,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_742,unidentified,FOTU_742_unidentified
FOTU_743,Fungi,Basidiomycota,Agaricomycetes,unidentified,unidentified,unidentified,unidentified,FOTU_743,Agaricomycetes,FOTU_743_Agaricomycetes
FOTU_744,Fungi,Ascomycota,Pezizomycetes,Pezizales,Sarcosomataceae,Urnula,craterium,FOTU_744,Urnula_craterium,FOTU_744_Urnula_craterium
FOTU_745,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,xenobia,FOTU_745,Coprinopsis_xenobia,FOTU_745_Coprinopsis_xenobia
FOTU_746,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,arcana,FOTU_746,Curvularia_arcana,FOTU_746_Curvularia_arcana
FOTU_747,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Hannaella,unidentified,FOTU_747,Hannaella,FOTU_747_Hannaella
FOTU_748,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_748,unidentified,FOTU_748_unidentified
FOTU_749,Fungi,Ascomycota,Dothideomycetes,Pleosporales,unidentified,unidentified,unidentified,FOTU_749,Pleosporales,FOTU_749_Pleosporales
FOTU_750,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Retiarius,superficiaris,FOTU_750,Retiarius_superficiaris,FOTU_750_Retiarius_superficiaris
