,Kingdom,Phylum,Class,Order,Family,Genus,Species,OTU,Lowest_Taxnomic_Rank,Label
FOTU_1,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Ramularia,unidentified,FOTU_1,Ramularia,FOTU_1_Ramularia
FOTU_2,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,tephrensis,FOTU_2,Vishniacozyma_tephrensis,FOTU_2_Vishniacozyma_tephrensis
FOTU_3,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Epicoccum,unidentified,FOTU_3,Epicoccum,FOTU_3_Epicoccum
FOTU_4,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,cladosporioides,FOTU_4,Cladosporium_cladosporioides,FOTU_4_Cladosporium_cladosporioides
FOTU_5,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,heimaeyensis,FOTU_5,Vishniacozyma_heimaeyensis,FOTU_5_Vishniacozyma_heimaeyensis
FOTU_6,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,unidentified,unidentified,FOTU_6,Didymellaceae,FOTU_6_Didymellaceae
FOTU_7,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleraceae,Bullera,alba,FOTU_7,Bullera_alba,FOTU_7_Bullera_alba
FOTU_8,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,unidentified,unidentified,FOTU_8,Mycosphaerellaceae,FOTU_8_Mycosphaerellaceae
FOTU_9,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,tenuissima,FOTU_9,Alternaria_tenuissima,FOTU_9_Alternaria_tenuissima
FOTU_10,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Didymella,glomerata,FOTU_10,Didymella_glomerata,FOTU_10_Didymella_glomerata
FOTU_11,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,unidentified,unidentified,FOTU_11,Didymellaceae,FOTU_11_Didymellaceae
FOTU_12,Fungi,Basidiomycota,Cystobasidiomycetes,Cystobasidiomycetes_ord_Incertae_sedis,Symmetrosporaceae,Symmetrospora,oryzicola,FOTU_12,Symmetrospora_oryzicola,FOTU_12_Symmetrospora_oryzicola
FOTU_13,Mocki,Mockmycota,Mockomycetes,Mockoales,Mockoaecea,Mock,mock1,FOTU_13,mock1,FOTU_13_Mock_mock1
FOTU_14,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,unidentified,unidentified,FOTU_14,Filobasidiaceae,FOTU_14_Filobasidiaceae
FOTU_15,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_15,Fungi,FOTU_15_Fungi
FOTU_16,Mocki,Mockmycota,Mockomycetes,Mockoales,Mockoaecea,Mock,mock10,FOTU_16,mock10,FOTU_16_Mock_mock10
FOTU_17,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Paraphoma,unidentified,FOTU_17,Paraphoma,FOTU_17_Paraphoma
FOTU_18,Mocki,Mockmycota,Mockomycetes,Mockoales,Mockoaecea,Mock,mock8,FOTU_18,mock8,FOTU_18_Mock_mock8
FOTU_19,Mocki,Mockmycota,Mockomycetes,Mockoales,Mockoaecea,Mock,mock7,FOTU_19,mock7,FOTU_19_Mock_mock7
FOTU_20,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_20,unidentified,FOTU_20_unidentified
FOTU_21,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_21,Ascomycota,FOTU_21_Ascomycota
FOTU_22,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_22,unidentified,FOTU_22_unidentified
FOTU_23,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Trimorphomycetaceae,Saitozyma,podzolica,FOTU_23,Saitozyma_podzolica,FOTU_23_Saitozyma_podzolica
FOTU_24,Mocki,Mockmycota,Mockomycetes,Mockoales,Mockoaecea,Mock,mock11,FOTU_24,mock11,FOTU_24_Mock_mock11
FOTU_25,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_25,unidentified,FOTU_25_unidentified
FOTU_26,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Sporobolomyces,unidentified,FOTU_26,Sporobolomyces,FOTU_26_Sporobolomyces
FOTU_27,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,unidentified,unidentified,FOTU_27,Mycosphaerellaceae,FOTU_27_Mycosphaerellaceae
FOTU_28,Mocki,Mockmycota,Mockomycetes,Mockoales,Mockoaecea,Mock,mock3,FOTU_28,mock3,FOTU_28_Mock_mock3
FOTU_29,Fungi,Ascomycota,Dothideomycetes,Venturiales,Sympoventuriaceae,Fusicladium,effusum,FOTU_29,Fusicladium_effusum,FOTU_29_Fusicladium_effusum
FOTU_30,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,unidentified,unidentified,FOTU_30,Diaporthaceae,FOTU_30_Diaporthaceae
FOTU_31,Mocki,Mockmycota,Mockomycetes,Mockoales,Mockoaecea,Mock,mock12,FOTU_31,mock12,FOTU_31_Mock_mock12
FOTU_32,Mocki,Mockmycota,Mockomycetes,Mockoales,Mockoaecea,Mock,mock3,FOTU_32,mock3,FOTU_32_Mock_mock3
FOTU_33,Mocki,Mockmycota,Mockomycetes,Mockoales,Mockoaecea,Mock,mock2,FOTU_33,mock2,FOTU_33_Mock_mock2
FOTU_34,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_34,unidentified,FOTU_34_unidentified
FOTU_35,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Paragibellulopsis,unidentified,FOTU_35,Paragibellulopsis,FOTU_35_Paragibellulopsis
FOTU_36,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Capnodiaceae,Capnodium,coffeicola,FOTU_36,Capnodium_coffeicola,FOTU_36_Capnodium_coffeicola
FOTU_37,Fungi,Ascomycota,Pezizomycotina_cls_Incertae_sedis,Pezizomycotina_ord_Incertae_sedis,Pezizomycotina_fam_Incertae_sedis,Tricellula,unidentified,FOTU_37,Tricellula,FOTU_37_Tricellula
FOTU_38,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Periconiaceae,Periconia,celtidis,FOTU_38,Periconia_celtidis,FOTU_38_Periconia_celtidis
FOTU_39,Fungi,Basidiomycota,Exobasidiomycetes,Entylomatales,Entylomataceae,Tilletiopsis,lilacina,FOTU_39,Tilletiopsis_lilacina,FOTU_39_Tilletiopsis_lilacina
FOTU_40,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Plectosphaerella,cucumerina,FOTU_40,Plectosphaerella_cucumerina,FOTU_40_Plectosphaerella_cucumerina
FOTU_41,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,babjevae,FOTU_41,Rhodotorula_babjevae,FOTU_41_Rhodotorula_babjevae
FOTU_42,Fungi,Ascomycota,Taphrinomycetes,Taphrinales,Taphrinaceae,Taphrina,inositophila,FOTU_42,Taphrina_inositophila,FOTU_42_Taphrina_inositophila
FOTU_43,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_43,Ascomycota,FOTU_43_Ascomycota
FOTU_44,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_44,unidentified,FOTU_44_unidentified
FOTU_45,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Cyphellophoraceae,Cyphellophora,unidentified,FOTU_45,Cyphellophora,FOTU_45_Cyphellophora
FOTU_46,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Leptospora,macarangae,FOTU_46,Leptospora_macarangae,FOTU_46_Leptospora_macarangae
FOTU_47,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Microcera,larvarum,FOTU_47,Microcera_larvarum,FOTU_47_Microcera_larvarum
FOTU_48,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,Alatosessilispora,unidentified,FOTU_48,Alatosessilispora,FOTU_48_Alatosessilispora
FOTU_49,Fungi,Ascomycota,Dothideomycetes,unidentified,unidentified,unidentified,unidentified,FOTU_49,Dothideomycetes,FOTU_49_Dothideomycetes
FOTU_50,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,unidentified,unidentified,FOTU_50,Pleosporaceae,FOTU_50_Pleosporaceae
FOTU_51,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,unidentified,FOTU_51,Fusarium,FOTU_51_Fusarium
FOTU_52,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Erysiphe,unidentified,FOTU_52,Erysiphe,FOTU_52_Erysiphe
FOTU_53,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Golovinomyces,magnicellulatus,FOTU_53,Golovinomyces_magnicellulatus,FOTU_53_Golovinomyces_magnicellulatus
FOTU_54,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Metschnikowia,kipukae,FOTU_54,Metschnikowia_kipukae,FOTU_54_Metschnikowia_kipukae
FOTU_55,Fungi,Basidiomycota,Cystobasidiomycetes,Cystobasidiales,Cystobasidiaceae,Cystobasidium,psychroaquaticum,FOTU_55,Cystobasidium_psychroaquaticum,FOTU_55_Cystobasidium_psychroaquaticum
FOTU_56,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Gibellulopsis,unidentified,FOTU_56,Gibellulopsis,FOTU_56_Gibellulopsis
FOTU_57,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,elegans,FOTU_57,Trametes_elegans,FOTU_57_Trametes_elegans
FOTU_58,Viridiplantae,Anthophyta,Eudicotyledonae,Fagales,Juglandaceae,Carya,tomentosa,FOTU_58,Carya_tomentosa,FOTU_58_Carya_tomentosa
FOTU_59,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_59,unidentified,FOTU_59_unidentified
FOTU_60,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma,taibaiensis,FOTU_60,Vishniacozyma_taibaiensis,FOTU_60_Vishniacozyma_taibaiensis
FOTU_61,Fungi,Ascomycota,Sordariomycetes,Amphisphaeriales,Pestalotiopsidaceae,Neopestalotiopsis,unidentified,FOTU_61,Neopestalotiopsis,FOTU_61_Neopestalotiopsis
FOTU_62,Metazoa,Arthropoda,Arachnida,Mesostigmata,Phytoseiidae,Euseius,stipulatus,FOTU_62,Euseius_stipulatus,FOTU_62_Euseius_stipulatus
FOTU_63,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meripilaceae,Rigidoporus,pouzarii,FOTU_63,Rigidoporus_pouzarii,FOTU_63_Rigidoporus_pouzarii
FOTU_64,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Leptospora,thailandica,FOTU_64,Leptospora_thailandica,FOTU_64_Leptospora_thailandica
FOTU_65,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,versicolor,FOTU_65,Trametes_versicolor,FOTU_65_Trametes_versicolor
FOTU_66,Mocki,Mockmycota,Mockomycetes,Mockoales,Mockoaecea,Mock,mock1,FOTU_66,mock1,FOTU_66_Mock_mock1
FOTU_67,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,equiseti,FOTU_67,Fusarium_equiseti,FOTU_67_Fusarium_equiseti
FOTU_68,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Hannaella,oryzae,FOTU_68,Hannaella_oryzae,FOTU_68_Hannaella_oryzae
FOTU_69,Fungi,Ascomycota,Taphrinomycetes,Taphrinales,Taphrinaceae,Taphrina,unidentified,FOTU_69,Taphrina,FOTU_69_Taphrina
FOTU_70,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Sclerotinia,unidentified,FOTU_70,Sclerotinia,FOTU_70_Sclerotinia
FOTU_71,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Neoascochyta,paspali,FOTU_71,Neoascochyta_paspali,FOTU_71_Neoascochyta_paspali
FOTU_72,Fungi,Ascomycota,Leotiomycetes,Erysiphales,Erysiphaceae,Golovinomyces,cynoglossi,FOTU_72,Golovinomyces_cynoglossi,FOTU_72_Golovinomyces_cynoglossi
FOTU_73,Fungi,Basidiomycota,Cystobasidiomycetes,Cystobasidiales,Cystobasidiales_fam_Incertae_sedis,Begerowomyces,foliicola,FOTU_73,Begerowomyces_foliicola,FOTU_73_Begerowomyces_foliicola
FOTU_74,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Minimedusa,polyspora,FOTU_74,Minimedusa_polyspora,FOTU_74_Minimedusa_polyspora
FOTU_75,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Neosetophoma,poaceicola,FOTU_75,Neosetophoma_poaceicola,FOTU_75_Neosetophoma_poaceicola
FOTU_76,Fungi,Basidiomycota,Exobasidiomycetes,Exobasidiales,Graphiolaceae,Graphiola,phoenicis,FOTU_76,Graphiola_phoenicis,FOTU_76_Graphiola_phoenicis
FOTU_77,Fungi,Ascomycota,Dothideomycetes,Mycosphaerellales,Mycosphaerellaceae,Cercospora,unidentified,FOTU_77,Cercospora,FOTU_77_Cercospora
FOTU_78,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_78,unidentified,FOTU_78_unidentified
FOTU_79,Fungi,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,unidentified,FOTU_79,Sordariomycetes,FOTU_79_Sordariomycetes
FOTU_80,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Toxicocladosporium,irritans,FOTU_80,Toxicocladosporium_irritans,FOTU_80_Toxicocladosporium_irritans
FOTU_81,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Meyerozyma,guilliermondii,FOTU_81,Meyerozyma_guilliermondii,FOTU_81_Meyerozyma_guilliermondii
FOTU_82,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,pyracanthae,FOTU_82,Diaporthe_pyracanthae,FOTU_82_Diaporthe_pyracanthae
FOTU_83,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,salamorum,FOTU_83,Penicillium_salamorum,FOTU_83_Penicillium_salamorum
FOTU_84,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,unidentified,FOTU_84,Colletotrichum,FOTU_84_Colletotrichum
FOTU_85,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeria,oryzae,FOTU_85,Phaeosphaeria_oryzae,FOTU_85_Phaeosphaeria_oryzae
FOTU_86,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lentitheciaceae,unidentified,unidentified,FOTU_86,Lentitheciaceae,FOTU_86_Lentitheciaceae
FOTU_87,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Mrakiaceae,Udeniomyces,pyricola,FOTU_87,Udeniomyces_pyricola,FOTU_87_Udeniomyces_pyricola
FOTU_88,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,unidentified,unidentified,unidentified,FOTU_88,Chaetothyriales,FOTU_88_Chaetothyriales
FOTU_89,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_89,unidentified,FOTU_89_unidentified
FOTU_90,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,anacardii,FOTU_90,Diaporthe_anacardii,FOTU_90_Diaporthe_anacardii
FOTU_91,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Coniothyriaceae,Coniothyrium,sidae,FOTU_91,Coniothyrium_sidae,FOTU_91_Coniothyrium_sidae
FOTU_92,Fungi,Ascomycota,Dothideomycetes,unidentified,unidentified,unidentified,unidentified,FOTU_92,Dothideomycetes,FOTU_92_Dothideomycetes
FOTU_93,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_93,unidentified,FOTU_93_unidentified
FOTU_94,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Metschnikowiaceae,Clavispora,lusitaniae,FOTU_94,Clavispora_lusitaniae,FOTU_94_Clavispora_lusitaniae
FOTU_95,Fungi,Ascomycota,Dothideomycetes,Pleosporales,unidentified,unidentified,unidentified,FOTU_95,Pleosporales,FOTU_95_Pleosporales
FOTU_96,Mocki,Mockmycota,Mockomycetes,Mockoales,Mockoaecea,Mock,mock2,FOTU_96,mock2,FOTU_96_Mock_mock2
FOTU_97,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Hannaella,oryzae,FOTU_97,Hannaella_oryzae,FOTU_97_Hannaella_oryzae
FOTU_98,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia,hawaiiensis,FOTU_98,Curvularia_hawaiiensis,FOTU_98_Curvularia_hawaiiensis
FOTU_99,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,unidentified,unidentified,FOTU_99,Nectriaceae,FOTU_99_Nectriaceae
FOTU_100,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Pseudopithomyces,chartarum,FOTU_100,Pseudopithomyces_chartarum,FOTU_100_Pseudopithomyces_chartarum
FOTU_101,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,unidentified,FOTU_101,Diaporthe,FOTU_101_Diaporthe
FOTU_102,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,unidentified,unidentified,FOTU_102,Nectriaceae,FOTU_102_Nectriaceae
FOTU_103,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_103,Fungi,FOTU_103_Fungi
FOTU_104,Fungi,Basidiomycota,Exobasidiomycetes,Microstromatales,Microstromatales_fam_Incertae_sedis,Pseudomicrostroma,phylloplanum,FOTU_104,Pseudomicrostroma_phylloplanum,FOTU_104_Pseudomicrostroma_phylloplanum
FOTU_105,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,sphaerospermum,FOTU_105,Cladosporium_sphaerospermum,FOTU_105_Cladosporium_sphaerospermum
FOTU_106,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_106,unidentified,FOTU_106_unidentified
FOTU_107,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Niessliaceae,Niesslia,mucida,FOTU_107,Niesslia_mucida,FOTU_107_Niesslia_mucida
FOTU_108,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeria,unidentified,FOTU_108,Phaeosphaeria,FOTU_108_Phaeosphaeria
FOTU_109,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,unidentified,unidentified,FOTU_109,Trichomeriaceae,FOTU_109_Trichomeriaceae
FOTU_110,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_110,Fungi,FOTU_110_Fungi
FOTU_111,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Epicoccum,sorghinum,FOTU_111,Epicoccum_sorghinum,FOTU_111_Epicoccum_sorghinum
FOTU_112,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Lachnum,unidentified,FOTU_112,Lachnum,FOTU_112_Lachnum
FOTU_113,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Capnodiaceae,Fumagospora,unidentified,FOTU_113,Fumagospora,FOTU_113_Fumagospora
FOTU_114,Fungi,Ascomycota,Taphrinomycetes,Taphrinales,Taphrinaceae,unidentified,unidentified,FOTU_114,Taphrinaceae,FOTU_114_Taphrinaceae
FOTU_115,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Sporobolomyces,ruberrimus,FOTU_115,Sporobolomyces_ruberrimus,FOTU_115_Sporobolomyces_ruberrimus
FOTU_116,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,unidentified,FOTU_116,Diaporthe,FOTU_116_Diaporthe
FOTU_117,Fungi,Basidiomycota,Exobasidiomycetes,Exobasidiales,Brachybasidiaceae,Meira,argovae,FOTU_117,Meira_argovae,FOTU_117_Meira_argovae
FOTU_118,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Querciphoma,unidentified,FOTU_118,Querciphoma,FOTU_118_Querciphoma
FOTU_119,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_119,Ascomycota,FOTU_119_Ascomycota
FOTU_120,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,venezuelensis,FOTU_120,Alternaria_venezuelensis,FOTU_120_Alternaria_venezuelensis
FOTU_121,Fungi,Basidiomycota,Exobasidiomycetes,Golubeviales,Golubeviaceae,Golubevia,pallescens,FOTU_121,Golubevia_pallescens,FOTU_121_Golubevia_pallescens
FOTU_122,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Stagonosporopsis,unidentified,FOTU_122,Stagonosporopsis,FOTU_122_Stagonosporopsis
FOTU_123,Viridiplantae,Anthophyta,Eudicotyledonae,Fagales,Juglandaceae,Carya,tomentosa,FOTU_123,Carya_tomentosa,FOTU_123_Carya_tomentosa
FOTU_124,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,unidentified,FOTU_124,Trichoderma,FOTU_124_Trichoderma
FOTU_125,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_125,unidentified,FOTU_125_unidentified
FOTU_126,Fungi,Ascomycota,Dothideomycetes,Myriangiales,Elsinoaceae,Elsinoe,unidentified,FOTU_126,Elsinoe,FOTU_126_Elsinoe
FOTU_127,Metazoa,Arthropoda,Arachnida,Mesostigmata,Phytoseiidae,Amblydromalus,unidentified,FOTU_127,Amblydromalus,FOTU_127_Amblydromalus
FOTU_128,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Paraphaeosphaeria,michotii,FOTU_128,Paraphaeosphaeria_michotii,FOTU_128_Paraphaeosphaeria_michotii
FOTU_129,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Claviceps,arundinis,FOTU_129,Claviceps_arundinis,FOTU_129_Claviceps_arundinis
FOTU_130,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,unidentified,unidentified,FOTU_130,Nectriaceae,FOTU_130_Nectriaceae
FOTU_131,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,hirsuta,FOTU_131,Trametes_hirsuta,FOTU_131_Trametes_hirsuta
FOTU_132,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Trichomeriaceae,Alatosessilispora,unidentified,FOTU_132,Alatosessilispora,FOTU_132_Alatosessilispora
FOTU_133,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,graminearum,FOTU_133,Fusarium_graminearum,FOTU_133_Fusarium_graminearum
FOTU_134,Fungi,Ascomycota,Dothideomycetes,Myriangiales,Elsinoaceae,Elsinoe,unidentified,FOTU_134,Elsinoe,FOTU_134_Elsinoe
FOTU_135,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Letendraea,unidentified,FOTU_135,Letendraea,FOTU_135_Letendraea
FOTU_136,Fungi,Ascomycota,Dothideomycetes,Myriangiales,Myriangiaceae,Myriangium,unidentified,FOTU_136,Myriangium,FOTU_136_Myriangium
FOTU_137,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Ramalinaceae,unidentified,unidentified,FOTU_137,Ramalinaceae,FOTU_137_Ramalinaceae
FOTU_138,Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Kondoaceae,Kondoa,gutianensis,FOTU_138,Kondoa_gutianensis,FOTU_138_Kondoa_gutianensis
FOTU_139,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Sarocladium,strictum,FOTU_139,Sarocladium_strictum,FOTU_139_Sarocladium_strictum
FOTU_140,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Hannaella,kunmingensis,FOTU_140,Hannaella_kunmingensis,FOTU_140_Hannaella_kunmingensis
FOTU_141,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Microcera,unidentified,FOTU_141,Microcera,FOTU_141_Microcera
FOTU_142,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Cyphellophoraceae,Cyphellophora,unidentified,FOTU_142,Cyphellophora,FOTU_142_Cyphellophora
FOTU_143,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_143,unidentified,FOTU_143_unidentified
FOTU_144,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Gnomoniaceae,Ophiognomonia,unidentified,FOTU_144,Ophiognomonia,FOTU_144_Ophiognomonia
FOTU_145,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,sordidulum,FOTU_145,Acremonium_sordidulum,FOTU_145_Acremonium_sordidulum
FOTU_146,Fungi,Ascomycota,Leotiomycetes,Helotiales,Chaetomellaceae,Chaetomella,unidentified,FOTU_146,Chaetomella,FOTU_146_Chaetomella
FOTU_147,Fungi,Ascomycota,Dothideomycetes,Dothideomycetidae_ord_Incertae_sedis,Pseudoperisporiaceae,Eudimeriolum,unidentified,FOTU_147,Eudimeriolum,FOTU_147_Eudimeriolum
FOTU_148,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Sporidiobolaceae,Rhodotorula,taiwanensis,FOTU_148,Rhodotorula_taiwanensis,FOTU_148_Rhodotorula_taiwanensis
FOTU_149,Metazoa,Arthropoda,Arachnida,Mesostigmata,Phytoseiidae,Amblydromalus,unidentified,FOTU_149,Amblydromalus,FOTU_149_Amblydromalus
FOTU_150,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Roussoellaceae,Xenoroussoella,triseptata,FOTU_150,Xenoroussoella_triseptata,FOTU_150_Xenoroussoella_triseptata
FOTU_151,Mocki,Mockmycota,Mockomycetes,Mockoales,Mockoaecea,Mock,mock2,FOTU_151,mock2,FOTU_151_Mock_mock2
FOTU_152,Fungi,Ascomycota,Leotiomycetes,Helotiales,Chaetomellaceae,Pilidium,unidentified,FOTU_152,Pilidium,FOTU_152_Pilidium
FOTU_153,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_153,unidentified,FOTU_153_unidentified
FOTU_154,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_154,Fungi,FOTU_154_Fungi
FOTU_155,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_155,unidentified,FOTU_155_unidentified
FOTU_156,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Coniothyriaceae,Coniothyrium,unidentified,FOTU_156,Coniothyrium,FOTU_156_Coniothyrium
FOTU_157,Fungi,Ascomycota,Leotiomycetes,Helotiales,unidentified,unidentified,unidentified,FOTU_157,Helotiales,FOTU_157_Helotiales
